Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Vipaka,Vata_Recommendation,Pitta_Recommendation,Kapha_Recommendation,Regional_Cuisine,Health_Conditions
Green Cardamom,544,10.82,39.37,27.46,Katu (Pungent),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,South Indian,['Immunity']
Wheat,398,20.27,54.68,4.59,Madhura (Sweet),Shita (Cold),Katu (Pungent),Neutral,Neutral,Favor,North Indian,"['Acidity', 'Diabetes', 'Stress']"
Salt,66,31.93,23.83,19.96,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Favor,Neutral,East Indian,"['Stress', 'Digestion', 'Joint_Pain']"
Pani Puri,305,18.59,48.51,18.33,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,South Indian,['Digestion']
Eggplant,196,24.56,7.46,22.44,Lavana (Salty),Shita (Cold),Amla (Sour),Neutral,Avoid,Favor,East Indian,"['Hair_Growth', 'Skin_Health', 'General_Wellness']"
Poppy Seeds,520,3.73,26.75,32.62,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,South Indian,['General_Wellness']
Papaya,391,29.72,77.51,8.24,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,['Skin_Health']
Appam,359,24.44,54.58,3.21,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,East Indian,"['Skin_Health', 'Acidity']"
Honey,240,21.34,32.7,32.69,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Favor,Neutral,West Indian,"['Joint_Pain', 'Stress']"
Custard Apple,389,39.18,69.24,24.69,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,South Indian,"['Diabetes', 'Skin_Health', 'Heart_Health']"
Medu Vada,319,34.04,12.31,19.78,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Neutral,Favor,North Indian,['Skin_Health']
Tea,144,13.77,26.75,30.56,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Neutral,South Indian,"['Weight_Loss', 'Skin_Health', 'Heart_Health']"
Kale,380,9.27,35.87,32.76,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,South Indian,['Weight_Gain']
Aloe Vera Juice,264,9.56,36.38,26.41,Katu (Pungent),Ushna (Hot),Amla (Sour),Neutral,Neutral,Favor,South Indian,['Diabetes']
Vada Pav,517,18.06,30.99,14.22,Lavana (Salty),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,East Indian,"['Weight_Loss', 'Acidity']"
Buckwheat,197,24.76,51.77,22.87,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,North Indian,['Stress']
Sugar,128,10.1,75.43,0.73,Kashaya (Astringent),Shita (Cold),Amla (Sour),Favor,Favor,Avoid,North Indian,"['Hair_Growth', 'Weight_Loss', 'Immunity']"
Handvo,311,39.13,12.64,0.79,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,West Indian,"['Skin_Health', 'Acidity', 'Immunity']"
Idli,261,9.75,54.05,28.73,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,South Indian,"['Stress', 'Diabetes', 'Joint_Pain']"
Lentils,324,20.75,26.25,27.64,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,West Indian,"['Stress', 'Acidity']"
Walnut,598,27.33,64.05,16.17,Tikta (Bitter),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,South Indian,"['Joint_Pain', 'Immunity', 'Diabetes']"
Chutney,184,4.13,41.83,32.49,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,South Indian,['Stress']
Coconut Burfi,118,2.3,74.34,15.79,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,North Indian,['Stress']
Dhokla,146,14.11,72.77,3.18,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,North Indian,"['General_Wellness', 'Weight_Gain', 'Acidity']"
Black Pepper,544,20.6,37.22,26.05,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['Skin_Health', 'Weight_Gain']"
Orange,283,25.09,23.4,2.49,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,West Indian,['Joint_Pain']
Jasmine Rice,548,22.77,48.16,1.26,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Neutral,Favor,East Indian,"['Hair_Growth', 'Joint_Pain']"
Cod,578,34.58,55.49,14.58,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,East Indian,['Skin_Health']
Ashwagandha,248,19.15,18.76,30.0,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,South Indian,"['Weight_Gain', 'Skin_Health', 'Diabetes']"
Shahi Tukda,131,16.27,65.29,15.45,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,East Indian,"['Skin_Health', 'Stress', 'Diabetes']"
Lobster,553,22.84,9.98,26.94,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,East Indian,['Heart_Health']
Triphala,539,23.99,52.43,5.9,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,North Indian,['Skin_Health']
Rasgulla,367,32.26,25.4,24.39,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,East Indian,['Diabetes']
Couscous,389,31.4,61.09,5.7,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,West Indian,['Joint_Pain']
White Rice,307,30.42,65.95,24.89,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Neutral,Favor,Avoid,East Indian,['Immunity']
Bok Choy,557,26.86,22.4,1.0,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,East Indian,"['Hair_Growth', 'Immunity', 'Joint_Pain']"
Potato,432,29.85,55.71,5.28,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,East Indian,['Heart_Health']
Avocado,63,4.03,39.11,23.78,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Neutral,Avoid,Favor,West Indian,"['Skin_Health', 'Weight_Loss', 'Acidity']"
Jowar Roti,142,38.05,9.55,24.15,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,South Indian,"['Immunity', 'Weight_Gain']"
Guava,199,28.7,9.99,8.46,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,North Indian,"['Joint_Pain', 'Acidity', 'Hair_Growth']"
Apple,514,25.66,78.0,16.54,Tikta (Bitter),Shita (Cold),Amla (Sour),Favor,Favor,Neutral,North Indian,['General_Wellness']
Asafoetida,534,22.14,78.9,6.23,Katu (Pungent),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,South Indian,"['Weight_Loss', 'Stress']"
Jaggery,215,34.86,16.62,3.35,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,East Indian,"['Acidity', 'Immunity']"
Rasmalai,539,33.25,9.27,14.94,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Avoid,Neutral,North Indian,"['Hair_Growth', 'Skin_Health', 'Weight_Gain']"
Rasgulla,250,20.72,41.24,29.42,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,East Indian,"['Weight_Gain', 'Immunity']"
Dosa,359,10.73,46.45,13.34,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['Skin_Health', 'Digestion', 'Joint_Pain']"
Couscous,436,35.97,30.31,25.67,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,South Indian,['Digestion']
Dates,549,30.51,16.4,16.31,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Neutral,Neutral,East Indian,"['Hair_Growth', 'Acidity', 'Digestion']"
Sooji ka Halwa,560,24.68,79.97,27.05,Tikta (Bitter),Shita (Cold),Amla (Sour),Favor,Avoid,Avoid,East Indian,"['Skin_Health', 'Weight_Loss', 'Heart_Health']"
Black Pepper,520,25.8,25.89,29.93,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,North Indian,"['Skin_Health', 'Acidity', 'Immunity']"
Idli,91,16.9,61.31,4.83,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Neutral,South Indian,"['Stress', 'Weight_Gain']"
Ginger,198,38.54,55.09,32.7,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['Weight_Gain', 'Stress', 'Immunity']"
Halwa,357,27.77,45.73,12.47,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,West Indian,['Skin_Health']
Bell Pepper,416,8.19,49.64,5.69,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Favor,South Indian,"['Weight_Loss', 'General_Wellness']"
Dark Chocolate,513,31.8,39.68,30.34,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,West Indian,"['Weight_Gain', 'Skin_Health', 'Joint_Pain']"
Sapota,482,33.25,18.0,17.26,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,South Indian,['Immunity']
Paneer,140,37.4,66.57,20.05,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Neutral,Favor,West Indian,['Acidity']
Farro,563,30.08,7.43,23.23,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,North Indian,['General_Wellness']
Corn,488,10.29,79.21,20.32,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,South Indian,"['Digestion', 'Immunity', 'Weight_Gain']"
Orange,212,10.41,33.57,28.39,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['Joint_Pain', 'Weight_Gain']"
Raita,581,11.49,54.06,21.86,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,West Indian,"['Diabetes', 'Skin_Health', 'Acidity']"
Cloves,93,32.96,50.89,13.38,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,East Indian,"['Hair_Growth', 'General_Wellness']"
Broccoli,185,21.09,59.86,33.56,Tikta (Bitter),Shita (Cold),Katu (Pungent),Neutral,Neutral,Avoid,North Indian,"['General_Wellness', 'Weight_Loss', 'Digestion']"
Cilantro,222,27.01,5.6,33.04,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Neutral,Favor,Avoid,East Indian,"['Weight_Loss', 'General_Wellness']"
Brazil Nut,145,38.7,34.64,25.63,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,South Indian,"['Hair_Growth', 'Diabetes', 'Skin_Health']"
Lassi,282,9.53,9.93,31.11,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Digestion', 'Joint_Pain', 'Immunity']"
Peanut,165,14.75,10.76,8.61,Tikta (Bitter),Ushna (Hot),Amla (Sour),Neutral,Favor,Favor,East Indian,"['Joint_Pain', 'Skin_Health']"
Raita,236,24.16,5.85,27.66,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,West Indian,"['Acidity', 'Heart_Health', 'Hair_Growth']"
Blueberry,514,10.59,66.3,32.6,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,East Indian,"['Stress', 'Acidity']"
Saffron,70,32.61,62.01,5.81,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,South Indian,['General_Wellness']
Puri Bhaji,416,13.3,22.25,14.69,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,South Indian,"['Digestion', 'General_Wellness']"
Palak Dal,184,6.46,17.68,12.64,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['Immunity', 'Diabetes', 'Stress']"
Raita,178,6.91,12.47,21.31,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,West Indian,['Weight_Loss']
Paneer,380,34.18,29.32,23.84,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,East Indian,"['Joint_Pain', 'Immunity']"
Sugar,286,25.03,68.71,2.05,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,North Indian,"['Hair_Growth', 'Skin_Health']"
Cod,457,20.72,52.51,28.29,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,East Indian,['General_Wellness']
Orange,469,29.62,63.86,34.81,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,West Indian,['Acidity']
Orange,191,6.84,14.47,28.56,Madhura (Sweet),Ushna (Hot),Amla (Sour),Neutral,Avoid,Favor,East Indian,"['Hair_Growth', 'Diabetes', 'Acidity']"
Fenugreek Seeds,239,22.53,68.84,33.54,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,South Indian,['Acidity']
Mutton Curry,393,17.38,11.57,2.77,Katu (Pungent),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Weight_Loss', 'Acidity']"
Puran Poli,253,23.76,24.26,28.24,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,East Indian,['General_Wellness']
Soya Chunks,348,12.56,62.86,22.99,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,West Indian,"['Immunity', 'Heart_Health', 'Skin_Health']"
Thepla,281,22.7,15.18,31.33,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Neutral,Avoid,Avoid,East Indian,"['Joint_Pain', 'Weight_Gain', 'Acidity']"
Bhel Puri,165,27.68,34.7,26.59,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,South Indian,"['Immunity', 'Weight_Loss', 'Stress']"
Bitter Gourd,397,39.91,38.88,12.74,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Neutral,Favor,West Indian,"['Heart_Health', 'Diabetes', 'Weight_Gain']"
Basil,218,8.86,24.69,18.62,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,South Indian,['Skin_Health']
Onion,569,15.13,65.23,19.14,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Diabetes', 'Stress', 'Digestion']"
Lentils,591,5.05,40.76,22.24,Kashaya (Astringent),Shita (Cold),Amla (Sour),Favor,Favor,Avoid,West Indian,"['Skin_Health', 'Weight_Loss']"
Mace,406,2.4,72.13,5.65,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Neutral,Favor,West Indian,['Digestion']
Giloy,184,36.29,33.74,7.96,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,East Indian,['Skin_Health']
Coconut,134,17.74,76.85,19.17,Katu (Pungent),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,East Indian,['Joint_Pain']
Pumpkin Seeds,172,8.21,18.83,7.48,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Neutral,Avoid,East Indian,"['Weight_Gain', 'Acidity', 'General_Wellness']"
Basmati Rice,383,38.47,8.65,3.88,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Neutral,Avoid,Favor,South Indian,"['Skin_Health', 'Digestion', 'Weight_Loss']"
Mace,417,27.86,17.46,2.54,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Favor,South Indian,"['Weight_Gain', 'Acidity']"
Mutton Curry,298,5.74,76.75,21.18,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,South Indian,"['Diabetes', 'Stress']"
Poha,587,35.22,67.3,8.25,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,West Indian,"['Hair_Growth', 'Weight_Loss']"
Chia Seeds,459,35.83,53.92,16.36,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Avoid,Neutral,Favor,East Indian,"['Weight_Loss', 'Digestion', 'Joint_Pain']"
Cabbage,113,29.77,57.55,20.82,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,West Indian,"['General_Wellness', 'Skin_Health', 'Heart_Health']"
Aloo Gobi,396,28.41,47.55,27.97,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,North Indian,['Skin_Health']
Kiwi,124,24.22,75.61,6.52,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,North Indian,"['Immunity', 'Stress', 'Skin_Health']"
Beetroot,74,30.49,73.48,20.24,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,North Indian,['Diabetes']
Cashew,323,12.76,35.02,28.51,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Digestion', 'Stress', 'Weight_Gain']"
Brazil Nut,379,9.92,14.97,22.53,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Favor,Neutral,South Indian,['Diabetes']
Chhole Bhature,536,5.18,33.95,13.4,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Neutral,Favor,North Indian,['General_Wellness']
Mint,241,26.17,34.87,0.74,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Avoid,Neutral,Favor,North Indian,"['Skin_Health', 'Acidity', 'Weight_Loss']"
Curry,160,12.16,65.93,3.34,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Neutral,Avoid,South Indian,"['Weight_Gain', 'Digestion']"
Honey,201,10.79,23.27,11.06,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Neutral,North Indian,"['Acidity', 'Weight_Loss']"
Shrimp,240,5.11,53.51,22.06,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,South Indian,"['Weight_Loss', 'Hair_Growth', 'Digestion']"
Shrimp,258,19.51,67.15,29.12,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,North Indian,"['Weight_Gain', 'Skin_Health', 'Heart_Health']"
Lentils,76,27.81,52.35,9.83,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Neutral,North Indian,"['Stress', 'Digestion']"
Biryani,551,19.58,7.5,4.71,Madhura (Sweet),Shita (Cold),Amla (Sour),Neutral,Favor,Favor,South Indian,['Weight_Loss']
Saffron,322,12.52,8.45,32.61,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,East Indian,"['Joint_Pain', 'Heart_Health', 'Digestion']"
Papaya,391,34.07,60.67,6.29,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,North Indian,['Heart_Health']
Masoor Dal,521,3.48,34.39,28.18,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,South Indian,"['General_Wellness', 'Immunity', 'Weight_Gain']"
Maple Syrup,519,31.74,71.49,14.25,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,East Indian,"['Immunity', 'Diabetes']"
Thyme,585,22.43,18.87,15.27,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,South Indian,['Joint_Pain']
Buckwheat,343,14.18,17.32,27.52,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,North Indian,['Diabetes']
Cauliflower,541,18.72,41.21,7.82,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,West Indian,['Heart_Health']
Chutney,534,33.53,54.1,14.69,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,North Indian,['Stress']
Garlic,268,38.02,15.59,26.84,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,West Indian,"['Weight_Loss', 'Skin_Health', 'Hair_Growth']"
Basmati Rice,92,4.62,30.11,11.32,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,South Indian,['Skin_Health']
Brazil Nut,543,19.91,40.44,13.55,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,West Indian,"['Joint_Pain', 'Immunity']"
Fennel Seeds,278,34.26,34.8,8.97,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,"['Hair_Growth', 'Digestion', 'Joint_Pain']"
Sunflower Oil,150,24.78,20.09,31.21,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,East Indian,['Weight_Gain']
Tandoori Chicken,141,25.72,67.2,7.07,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Avoid,Avoid,West Indian,"['Weight_Gain', 'Hair_Growth', 'Diabetes']"
Dal Makhani,351,22.69,8.08,26.2,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,North Indian,"['Diabetes', 'Stress', 'Heart_Health']"
Paneer,210,30.45,41.2,7.95,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,North Indian,"['Weight_Loss', 'Digestion']"
Curry,506,15.6,30.02,13.88,Katu (Pungent),Shita (Cold),Katu (Pungent),Neutral,Favor,Avoid,East Indian,"['General_Wellness', 'Skin_Health']"
Ginger,422,16.96,40.51,29.98,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Diabetes', 'Joint_Pain', 'Acidity']"
Pumpkin Seeds,203,3.58,29.16,19.81,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Neutral,Avoid,East Indian,"['Joint_Pain', 'Skin_Health']"
Curry Leaves,565,8.63,58.06,25.06,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Neutral,Avoid,South Indian,"['Hair_Growth', 'Skin_Health']"
Samosa,261,11.78,63.08,13.8,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,South Indian,"['Diabetes', 'Digestion', 'Hair_Growth']"
Pickle,424,3.56,8.72,22.01,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Neutral,Avoid,North Indian,['Digestion']
Masoor Dal,159,33.46,33.35,34.35,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,North Indian,"['Joint_Pain', 'Hair_Growth', 'Digestion']"
Amla Juice,451,14.63,28.66,4.18,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Neutral,Avoid,South Indian,['Heart_Health']
Shahi Tukda,359,8.45,12.17,14.96,Madhura (Sweet),Shita (Cold),Amla (Sour),Neutral,Avoid,Avoid,North Indian,"['Weight_Loss', 'Skin_Health', 'Hair_Growth']"
Cheddar,307,2.4,34.56,29.86,Katu (Pungent),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,North Indian,['Immunity']
Chia Seeds,89,17.29,27.35,22.08,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,North Indian,"['Acidity', 'Weight_Loss', 'Joint_Pain']"
Gajar ka Halwa,458,2.33,33.66,10.91,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Neutral,Favor,East Indian,"['General_Wellness', 'Diabetes', 'Joint_Pain']"
Star Anise,230,14.62,57.56,26.9,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,West Indian,"['Skin_Health', 'Weight_Loss']"
Rasmalai,150,18.51,70.22,6.73,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,North Indian,['Diabetes']
Garlic,219,27.61,6.25,12.19,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,North Indian,"['Skin_Health', 'Weight_Loss', 'Diabetes']"
Moong Dal,510,34.85,39.27,16.89,Katu (Pungent),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,West Indian,['Hair_Growth']
Mozzarella,133,4.08,77.89,18.19,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['Stress', 'Heart_Health', 'Weight_Loss']"
Dark Chocolate,91,14.51,8.94,16.03,Amla (Sour),Shita (Cold),Katu (Pungent),Neutral,Favor,Favor,East Indian,['Digestion']
Pumpkin Seeds,494,37.56,39.28,10.51,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['Joint_Pain', 'Weight_Loss']"
Millet,287,21.34,38.96,10.11,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,East Indian,['Joint_Pain']
Couscous,104,4.82,13.65,30.5,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Avoid,Neutral,Favor,South Indian,"['Diabetes', 'Skin_Health', 'General_Wellness']"
Blueberry,332,11.79,38.75,24.41,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Neutral,Favor,West Indian,['Stress']
Toor Dal,63,13.23,11.79,23.55,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,West Indian,['Acidity']
Sweet Potato,482,30.52,22.7,5.45,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Neutral,Avoid,South Indian,"['Weight_Loss', 'Joint_Pain', 'Skin_Health']"
Flax Seeds,87,11.97,48.59,25.28,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,East Indian,['Weight_Loss']
Sambar,184,13.99,41.83,11.57,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,West Indian,"['Acidity', 'Stress']"
Sunflower Oil,168,2.3,41.91,34.53,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,South Indian,"['Acidity', 'Stress', 'General_Wellness']"
Naan,318,22.7,14.42,10.5,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Acidity', 'Weight_Gain', 'General_Wellness']"
Fennel Seeds,217,29.23,31.9,9.74,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,['Immunity']
Kiwi,523,18.88,15.28,30.25,Katu (Pungent),Shita (Cold),Madhura (Sweet),Avoid,Neutral,Favor,North Indian,['Joint_Pain']
Bell Pepper,572,29.44,18.06,19.37,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,South Indian,"['Hair_Growth', 'Stress']"
Mint,140,25.6,27.64,31.54,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,East Indian,['Digestion']
Broccoli,528,13.27,24.88,15.4,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Acidity', 'Digestion']"
Banana,363,25.62,21.49,15.85,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Avoid,Neutral,East Indian,"['Skin_Health', 'Acidity']"
Dark Chocolate,572,2.94,57.25,25.52,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,West Indian,"['Skin_Health', 'Stress']"
Lassi,100,5.69,9.82,20.95,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Neutral,South Indian,"['Weight_Loss', 'Diabetes']"
Dhokla,267,27.94,54.67,25.18,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,North Indian,"['Heart_Health', 'General_Wellness', 'Weight_Gain']"
Sugar,407,33.88,70.78,8.89,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Neutral,Avoid,East Indian,"['Digestion', 'Heart_Health']"
